Symbol,Trade Date,Broker,ADV,Volatility,Beta,Mkt Cap (MM),Side,Order Shares,Executed Shares,POV,P_avg,Pd,P0,Pn,VWAP
NFLX,8/5/24,Broker E,5633900.5,0.49,1.128229022,420426,Sell,37200,37200,0.104734793,977.52,984.4,984.37,982.25,977.5396604
WMT,8/5/24,Broker D,27689224,0.42,0.781679511,740837,Sell,1103400,1103400,0.07524952,91.77,93.02,93.12,91.83,91.83076164
PG,8/5/24,Broker B,9135826,0.29,0.483530194,388659,Buy,326700,326700,0.04409216,172.08,169.89,170.14,172.75,172.050883
JNJ,8/5/24,Broker D,10849724,0.33,0.518104196,378153,Sell,136000,136000,0.178672875,156.74,157.96,157.98,157.01,156.8096919
HD,8/5/24,Broker C,4276120,0.36,0.904466271,344794,Buy,91500,87500,0.064422603,357.96,354.29,354.22,358,357.8927141
ABBV,8/5/24,Broker B,8754635,0.36,0.487410396,301009,Sell,229400,229400,0.177648339,171.25,173.47,173.33,172.68,171.3385534
KO,8/5/24,Broker E,20127234,0.24,0.439482689,313171,Buy,561800,525800,0.078675474,73.83,73.38,73.35,74.02,73.69002435
PM,8/5/24,Broker B,7038256,0.31,0.448695272,252431,Sell,98200,98200,0.068583553,162.33,163.76,163.76,162.43,162.369097
BAC,8/5/24,Broker A,58030748,0.54,1.156621456,280695,Sell,2773400,2773400,0.122283465,36.35,37.07,37.1,36.85,36.41481537
CRM,8/5/24,Broker C,7202936.5,0.47,1.214108348,227046,Sell,306500,306500,0.171686481,236.28,240.43,240.28,236.55,236.2635516
CVX,8/5/24,Broker E,11178586,0.49,0.715148687,233589,Sell,356400,356400,0.126819077,133.97,136.02,135.81,135.55,134.0527263
ABT,8/5/24,Broker C,8016111.5,0.3,0.586934447,225271,Buy,162000,162000,0.167722456,132.22,130.97,131.02,132.43,132.1956809
MCD,8/5/24,Broker E,4345218,0.28,0.59120661,220757,Sell,200100,170500,0.082685925,308.25,311,311.04,310.36,308.2857517
CSCO,8/5/24,Broker A,26598580,0.43,0.881947041,216300,Buy,262700,262700,0.119072338,55.73,55.16,55.16,55.69,55.60827018
IBM,8/5/24,Broker D,5153453.5,0.39,0.758216262,219038,Sell,171800,171800,0.154879854,234.83,238.07,237.88,236.26,234.8868107
LIN,8/5/24,Broker D,2600478.25,0.37,0.727685034,209902,Buy,103400,103400,0.187651162,456.54,450.54,450.63,456.52,456.4970426
WFC,8/5/24,Broker A,20418954,0.5,0.994544625,209003,Buy,630400,630400,0.050858383,65.35,64.2,64.28,65.89,65.20714385
ORCL,8/5/24,Broker A,12495883,0.58,1.279027343,344416,Sell,120500,120500,0.059309189,125.34,126.89,126.94,126.53,125.4655616
MRK,8/5/24,Broker D,18299742,0.35,0.553353965,195901,Sell,709200,709200,0.181429717,77.03,78.08,78,77.53,77.10406273
PEP,8/5/24,Broker E,7963296,0.27,0.47175014,194356,Sell,85400,85400,0.149269739,141.8,142.5,142.48,142.2,141.897304
GE,8/5/24,Broker D,6722253,0.57,1.188797116,190224,Sell,307500,307500,0.083817496,175.92,179.29,179.37,178.65,175.9488255
T,8/5/24,Broker A,45441512,0.33,0.480280787,189002,Sell,1984300,1984300,0.183288197,26.83,27.16,27.21,27.16,26.91777304
PLTR,8/5/24,Broker C,110576536,0.91,2.046456575,212958,Buy,1694300,1694300,0.077946758,94.55,92.84,92.78,94.56,94.50887836
VZ,8/5/24,Broker E,29510090,0.34,0.553383589,184170,Sell,22100,22100,0.08310763,44.32,44.2,44.37,44.4,44.41474817
ACN,8/5/24,Broker C,4422696,0.44,0.80521059,175001,Sell,22200,22200,0.045932633,280.21,282.34,282.33,281.05,280.2314455
ISRG,8/5/24,Broker D,2817014.75,0.61,1.206331491,167787,Sell,111700,111700,0.183727845,466.56,475.94,475.73,467.8,466.6712488
RTX,8/5/24,Broker E,5422184.5,0.41,0.707878292,168382,Buy,118300,118300,0.161923267,129.84,128.5,128.57,129.74,129.7032881
INTU,8/5/24,Broker D,1932800.125,0.43,1.002376318,159026,Buy,16100,16100,0.191055848,583.32,578.43,578.5,584.83,583.2500816
TMO,8/5/24,Broker D,2260051.5,0.45,0.859779418,159245,Sell,63700,63700,0.164666925,419.65,425.5,425.38,424.68,419.702659
NOW,8/5/24,Broker C,2160465,0.62,1.252818584,156492,Sell,97600,94200,0.198778037,743.64,759.36,759.35,746.58,743.6624857
GS,8/5/24,Broker D,3531042.75,0.6,1.261187077,161610,Sell,30200,30200,0.068410799,499.88,505.4,505.39,504.17,499.8961358
UBER,8/5/24,Broker C,19155544,0.55,1.195605874,152495,Buy,610800,610800,0.069093964,75.7,74.44,74.44,76.76,75.72219645
PGR,8/5/24,Broker A,3972077.25,0.43,0.573527932,150903,Buy,135300,135300,0.143896977,268.12,264.18,264.05,269.38,267.9937779
DIS,8/5/24,Broker E,11873562,0.58,0.890657663,151854,Buy,493300,416100,0.102968684,86.24,84.91,84.86,86.65,86.14708559
ADBE,8/5/24,Broker D,4928740.5,0.59,1.125434399,146280,Sell,246100,246100,0.052606391,337.5,344.57,344.52,337.93,337.520042
BKNG,8/5/24,Broker C,318188.8125,0.47,1.077503562,145622,Buy,10800,10800,0.128783895,4637.17,4566.64,4566.86,4666.18,4637.17812
QCOM,8/5/24,Broker E,9248309,0.67,1.497467756,150571,Buy,50500,50500,0.18974248,136.04,134.73,134.88,136.09,135.9372044
AMGN,8/5/24,Broker C,3351891,0.33,0.565429389,147144,Buy,89600,89600,0.153464082,280.34,277.29,277.33,281.89,280.3480292
SPGI,8/5/24,Broker B,1517246.25,0.42,1.000825882,140911,Buy,72100,68900,0.175688702,467.54,460,460.1,469,467.4542279
TJX,8/5/24,Broker E,6671403,0.3,0.678406835,138498,Buy,46500,46500,0.010607454,127.91,127.23,127.36,127.81,127.7809106
AMD,8/5/24,Broker A,41816476,0.95,1.692152262,139004,Buy,1608800,1452000,0.181884022,88.33,86.02,85.98,90.23,88.26998032
CAT,8/5/24,Broker E,3281743.25,0.5,1.076455116,136086,Buy,36600,36600,0.177909911,291.99,289.33,289.4,293.39,291.9135523
BSX,8/5/24,Broker D,9649542,0.42,0.887817025,138411,Sell,106800,106800,0.14215234,93.91,95.05,94.77,94.3,93.91423039
AXP,8/5/24,Broker A,4197011.5,0.62,1.152603507,169900,Buy,180200,180200,0.180397268,254.33,248.85,248.96,258.75,254.2702949
NEE,8/5/24,Broker A,13180131,0.37,0.569819272,133149,Buy,527600,527600,0.094926529,66.98,65.82,66.01,67.08,66.91132626
TXN,8/5/24,Broker C,8989339,0.71,1.09406817,132493,Buy,159400,159400,0.062498293,147.98,145.46,145.55,148.94,147.9871697
MS,8/5/24,Broker E,9562043,0.6,1.288030863,170984,Buy,5600,5600,0.074944833,108.44,108.14,108.17,108.38,108.3215907
UNP,8/5/24,Broker B,3233668.5,0.38,0.845109522,129483,Buy,96100,96100,0.078724118,221.07,218.16,218.23,223.6,221.0038378
GILD,8/5/24,Broker B,10361147,0.28,0.585657597,129908,Sell,102400,102400,0.118476835,103.24,104.1,104,103.73,103.2678685
SCHW,8/5/24,Broker A,12408055,0.45,1.128342867,139918,Buy,321600,321600,0.198402168,76.56,75.64,75.46,77.13,76.41933557
CMCSA,8/5/24,Broker E,28652040,0.38,0.723178506,127042,Buy,1496800,1303500,0.111136285,34.13,33.75,33.71,34.33,34.02797929
HON,8/5/24,Broker A,4912729.5,0.44,0.834966779,124940,Buy,130900,118000,0.031779897,197.89,194.98,195.16,200.01,197.7960904
BLK,8/5/24,Broker A,1083176.875,0.51,1.162742853,132389,Buy,9900,9900,0.034006636,876.94,867,867.11,884.48,876.9005907
TMUS,8/5/24,Broker B,4545863,0.35,0.688813746,288121,Buy,55600,55600,0.133945674,262.87,260.39,260.49,264.89,262.8410874
VRTX,8/5/24,Broker E,1611804.375,0.24,0.849466443,122761,Buy,45500,38200,0.082431595,491.07,488,488.04,493.14,490.9798626
PFE,8/5/24,Broker A,61340208,0.31,0.494620919,124999,Buy,207100,207100,0.025236841,22.35,22.13,22.22,22.3,22.2611712
LOW,8/5/24,Broker D,2954811.25,0.36,0.888534725,119089,Buy,98800,98800,0.101796474,220.38,217.67,217.76,222.59,220.3247044
BA,8/5/24,Broker D,10290827,0.72,1.262373209,119889,Buy,249000,249000,0.024783763,163.01,160,160.08,162.98,162.9194153
DHR,8/5/24,Broker E,4341055.5,0.51,0.908220112,132330,Buy,19500,19500,0.163900946,186.59,185.28,185.46,186.99,186.4893328
ADP,8/5/24,Broker E,2150195,0.35,0.787215412,115897,Buy,41600,41600,0.042451279,293.35,290.77,290.98,293.77,293.239823
SYK,8/5/24,Broker B,1907405.125,0.37,0.750790775,129618,Buy,5100,5100,0.012273758,346.74,344.71,344.75,348.36,346.6546524
C,8/5/24,Broker B,20884940,0.6,1.245760441,117993,Sell,146900,146900,0.154238844,61.98,62.75,62.68,62.63,62.05574673
FI,8/5/24,Broker D,3409129.25,0.43,0.87523675,116342,Buy,41300,36800,0.013192245,210.64,208.64,208.73,212.38,210.5708141
DE,8/5/24,Broker C,1539067.125,0.43,0.961758375,119846,Buy,24500,24500,0.028196598,455.36,450.42,450.39,456.02,455.3067593
COP,8/5/24,Broker A,10939566,0.67,0.772891283,110678,Sell,435000,435000,0.178387182,85.32,87.26,87.26,85.89,85.4060181
AMAT,8/5/24,Broker D,8732342,0.7,1.516796589,110130,Sell,243700,243700,0.040600452,132.51,135.13,135.06,133.46,132.561241
PANW,8/5/24,Broker C,5760672,0.58,1.216528773,105969,Buy,49400,49400,0.138143164,166.92,165.09,165.08,167.17,166.9138103
MMC,8/5/24,Broker C,2447921.75,0.33,0.590217888,104508,Buy,116500,116500,0.18095933,221.62,218.61,218.71,222.78,221.5879061
CB,8/5/24,Broker D,2063046.375,0.31,0.533117235,112104,Buy,69600,69600,0.042170249,288.11,285,285.05,289.58,288.041162
ETN,8/5/24,Broker D,3941023.75,0.6,1.268835664,101652,Buy,172900,172900,0.125923174,269.4,264.12,264.19,272.11,269.3953703
MDT,8/5/24,Broker A,8498045,0.29,0.682784915,104912,Buy,393700,393700,0.178119969,83.67,82.6,82.6,83.84,83.57400768
AMT,8/5/24,Broker D,3553526.5,0.31,0.532872975,102045,Buy,74100,74100,0.035789412,223.4,221.33,221.41,224.48,223.340674
SO,8/5/24,Broker D,5008373,0.23,0.426127642,99270,Buy,71900,71900,0.062105876,92.34,91.62,91.77,92.41,92.29994615
BMY,8/5/24,Broker C,13893362,0.33,0.433606565,99581,Sell,616000,616000,0.050112396,48.55,49.35,49.19,48.54,48.53360359
MO,8/5/24,Broker B,12420729,0.23,0.458243698,97184,Buy,620600,620600,0.155160465,59.06,58.3,58.43,59.6,59.02927308
ELV,8/5/24,Broker E,1897402.5,0.34,0.451055408,92069,Buy,1100,1100,0.044461147,422.1,421.66,421.71,422.3,422.0130297
LMT,8/5/24,Broker D,1811621.75,0.34,0.528686762,107512,Buy,14200,14200,0.164595368,462.56,459.26,459.46,463.51,462.526719
BX,8/5/24,Broker A,6410232,0.74,1.327261329,147576,Buy,56600,56600,0.015657763,128.83,127,126.99,129.64,128.7782052
PLD,8/5/24,Broker D,6284098,0.54,1.035050511,93652,Sell,211500,197500,0.102862541,99.01,100.51,100.63,99.94,99.1305437
CME,8/5/24,Broker B,3201366.75,0.23,0.449448019,93818,Buy,41500,41200,0.13603134,265.13,263.28,263.31,265.79,265.119651
DUK,8/5/24,Broker C,4900300,0.24,0.36730212,93375,Buy,166200,166200,0.112859735,122.87,121.58,121.74,123.78,122.8949178
SBUX,8/5/24,Broker E,11626514,0.59,1.146592379,91644,Buy,295300,285300,0.090436426,81.67,80.36,80.52,81.87,81.5691769
CRWD,8/5/24,Broker B,4596504.5,0.73,1.664388299,89901,Buy,50100,50100,0.144538567,369.14,363.8,363.72,372.1,369.0677824
ICE,8/5/24,Broker B,4024815.75,0.28,0.815884113,89064,Sell,70900,70900,0.076350499,155.79,157.42,157.17,156.39,155.8048131
CI,8/5/24,Broker D,1856092.125,0.26,0.510866761,88048,Buy,52700,44000,0.066093471,333.57,330.8,330.85,334.75,333.5099334
WELL,8/5/24,Broker B,3609059,0.31,0.67238766,93593,Buy,213200,178900,0.195566716,148.65,146.76,146.69,148.6,148.5561454
GEV,8/5/24,Broker E,4296794.5,0.8,1.5,85579,Buy,207900,207900,0.047224883,327.69,320,320.03,328.94,327.6230992
ADI,8/5/24,Broker D,4588623,0.77,1.321415544,86791,Buy,142500,134000,0.170116066,176.38,172.65,172.81,178.58,176.3378891
MCK,8/5/24,Broker A,1129723.5,0.27,0.501902699,85534,Buy,25000,25000,0.021945176,709.93,703.03,703.08,714.7,709.8872072
MDLZ,8/5/24,Broker D,10405951,0.27,0.409132928,87785,Buy,49800,49800,0.017085855,67.81,67.3,67.5,67.85,67.75795143
CVS,8/5/24,Broker C,10635882,0.33,0.764965117,82270,Buy,511500,511500,0.087347589,68.18,67.3,67.28,68.34,68.17899813
WM,8/5/24,Broker B,1838091.625,0.25,0.538219333,91559,Sell,35600,35600,0.174473407,228.83,230.78,230.77,229.86,228.8883277
KLAC,8/5/24,Broker B,1346563.125,0.74,1.578629613,82496,Buy,13100,13100,0.06654026,632.55,623.43,623.53,639.54,632.4689957
AJG,8/5/24,Broker E,1667881.125,0.34,0.612837076,81682,Sell,19300,19300,0.072380657,326.39,328.42,328.46,326.79,326.5324583
INTC,8/5/24,Broker D,111931832,0.93,1.574641943,82154,Sell,2052800,2052800,0.026872216,18.43,18.93,18.81,18.51,18.46059017
LRCX,8/5/24,Broker B,13776550,0.81,1.61843729,80088,Buy,58700,58700,0.112792436,63.14,62.36,62.41,63.8,63.11467073
ORLY,8/5/24,Broker B,458705.9688,0.3,0.512424648,78334,Buy,2400,2400,0.067405958,1400.63,1392,1391.97,1405.53,1400.56083
AON,8/5/24,Broker A,1403522.25,0.28,0.581544459,76886,Sell,13000,13000,0.140712892,362.94,365.75,365.73,364.91,363.0486091
APH,8/5/24,Broker E,9046439,0.54,1.336825252,77057,Buy,358400,358400,0.077401068,65.07,63.94,64.04,65.36,64.95076007
CL,8/5/24,Broker B,5917938,0.3,0.457846314,76810,Sell,257400,257400,0.11357876,94.64,95.8,95.84,95.04,94.66837565
SHW,8/5/24,Broker A,2088853.375,0.36,0.941084564,81062,Buy,98500,98500,0.051871933,337.08,331.87,332.05,340.38,336.9592438
EQIX,8/5/24,Broker E,787754.5625,0.39,0.928478122,75633,Buy,800,800,0.137993052,785.41,783.79,783.89,786.18,785.2691284
MU,8/5/24,Broker E,28983996,1.04,1.875524879,74587,Sell,51200,51200,0.08755646,67.14,67.76,67.68,67.59,67.22664457
TDG,8/5/24,Broker E,314887.9063,0.42,0.995311379,73277,Buy,14100,14100,0.046833507,1349.52,1331.41,1331.44,1353.81,1349.406985
TT,8/5/24,Broker E,1656028.125,0.45,1.197039723,72305,Buy,15400,15400,0.145408006,332.67,330.1,330.2,332.76,332.5521689
ANET,8/5/24,Broker B,11877461,0.7,1.682001829,84968,Buy,576400,576400,0.079128572,70.41,68.68,68.76,71.81,70.33544758
NOC,8/5/24,Broker B,1115825.375,0.32,0.599564493,76585,Buy,13700,13700,0.021522577,544.68,540,540.05,546.5,544.6163006
PH,8/5/24,Broker D,1032480.313,0.68,1.207091451,70472,Buy,32900,32900,0.123355983,562.98,552.06,552.29,572.85,562.9206616
WMB,8/5/24,Broker A,8275608.5,0.39,0.808866858,68896,Sell,350800,350800,0.188520688,56.9,57.95,57.79,57.27,57.00574075
CDNS,8/5/24,Broker E,2427913.5,0.57,1.3736552,69006,Buy,13800,13800,0.15502068,258.96,257.02,257.02,259.96,258.8655372
MMM,8/5/24,Broker E,4530638,0.51,1.006646872,68003,Buy,141000,141000,0.175170551,130.83,129,129.04,131.26,130.788429
CTAS,8/5/24,Broker C,2318209.75,0.41,0.948155165,80923,Buy,47600,47600,0.032222093,206.82,204.49,204.44,208.84,206.8444328
UPS,8/5/24,Broker E,6512738.5,0.48,0.871397614,81575,Buy,112500,112500,0.122517341,96.83,95.57,95.84,97.16,96.68619927
MSI,8/5/24,Broker C,948396.125,0.34,0.9049986,68847,Buy,10000,10000,0.160190544,420.96,417.56,417.6,422.08,420.931572
GD,8/5/24,Broker E,1655810.125,0.36,0.714203775,73317,Sell,79200,79200,0.110319824,271.61,275.01,274.97,274.48,271.7163346
KKR,8/5/24,Broker C,7550706.5,0.9,1.628254652,87004,Sell,309000,257700,0.063998137,98.4,101,100.93,100.82,98.37737285
ZTS,8/5/24,Broker C,2779203.75,0.37,0.767200053,65522,Sell,39800,39800,0.130041194,147.32,148.67,148.74,147.63,147.3431372
NKE,8/5/24,Broker C,25678442,0.71,0.788271487,82833,Buy,189900,160400,0.115033922,55.8,55.23,55.16,55.98,55.73837753
MCO,8/5/24,Broker A,1041817.375,0.52,1.158737779,74348,Sell,800,800,0.120987152,416.87,419,419.14,417.88,416.9600124
CMG,8/5/24,Broker A,14388523,0.46,0.869820356,63064,Buy,210100,210100,0.122425912,48.54,47.84,47.95,48.74,48.41850829
CEG,8/5/24,Broker B,4398039.5,0.83,1.476271391,60695,Sell,5400,5400,0.124833115,201.88,203.49,203.49,202.15,201.9698327
SNPS,8/5/24,Broker E,1463162.375,0.54,1.399227858,62213,Buy,66500,66500,0.056099439,413.01,406.26,406.14,419.44,412.9559245
NEM,8/5/24,Broker B,13934138,0.49,1.032853365,62236,Buy,155000,141600,0.122865446,57.66,57,57.04,57.71,57.64825293
EOG,8/5/24,Broker B,4546741,0.56,0.80652982,60179,Buy,149800,149800,0.190235304,110.67,108.58,108.73,111.46,110.6092016
COF,8/5/24,Broker E,5593778,0.71,1.180324078,63005,Buy,139800,139800,0.045413827,171.96,169.08,169.11,174.03,171.8787729
ITW,8/5/24,Broker C,1335379.125,0.41,0.863521516,66773,Buy,18800,18800,0.07416781,231.2,228.79,228.86,231.92,231.2178436
DASH,8/5/24,Broker D,8294022.5,0.68,1.455383658,72765,Sell,167600,167600,0.145995458,175.19,178.23,178.12,178.02,175.2429238
FTNT,8/5/24,Broker A,5420590,0.6,1.176363707,71299,Sell,50500,50500,0.112115073,93.62,94.87,94.83,94.11,93.72114471
AZO,8/5/24,Broker C,164381.0938,0.3,0.586766005,59709,Sell,6000,6000,0.039393502,3551.32,3591.9,3591.81,3578.29,3551.355253
PYPL,8/5/24,Broker E,11983751,0.56,1.264015198,59636,Sell,341700,341700,0.19441255,59.19,60.24,60.06,59.87,59.29706501
PNC,8/5/24,Broker B,3215447.75,0.46,1.039765954,59414,Buy,145300,145300,0.143202374,153.04,150.5,150.45,153.8,153.0206522
ECL,8/5/24,Broker B,1645770.375,0.3,0.852666318,65664,Sell,4700,4700,0.189964958,236.87,238.09,238.09,238.05,236.8811931
HCA,8/5/24,Broker B,1648882.375,0.33,0.669401526,78197,Sell,56800,48700,0.030235631,331.09,334.93,335.02,331.8,331.1209235
ROP,8/5/24,Broker D,670314.9375,0.35,0.779269636,57910,Buy,9600,9600,0.112247916,555.35,550.42,550.6,558.15,555.2959385
USB,8/5/24,Broker D,15376011,0.5,1.192224503,58908,Sell,95400,95400,0.105585499,37.58,37.91,37.9,37.7,37.56552517
REGN,8/5/24,Broker B,1086888.625,0.39,0.743007243,61073,Sell,7100,6500,0.039973917,551.66,556.04,555.99,553.96,551.7223545
APD,8/5/24,Broker C,1285565.375,0.42,0.879582047,57305,Sell,59400,59400,0.13013388,257.26,261.39,261.38,261.02,257.3070555
TRV,8/5/24,Broker A,1616036.75,0.36,0.650661469,56549,Sell,21600,21600,0.163504646,253.36,256.12,255.95,254,253.4429535
AEP,8/5/24,Broker E,5192580,0.26,0.428053766,56352,Buy,24400,21700,0.126570602,108.28,107.77,107.98,108.32,108.2156125
BDX,8/5/24,Broker D,2398220.25,0.32,0.611429393,56454,Buy,41700,41700,0.084164955,200.48,198.71,198.76,200.69,200.3461903
APO,8/5/24,Broker B,5210564.5,0.84,1.517835021,68247,Sell,136600,119100,0.069591803,121.94,124.63,124.58,123.25,122.0369302
EMR,8/5/24,Broker E,3611822,0.55,1.123367548,54371,Sell,99800,99800,0.130118532,96.31,97.89,97.69,97.49,96.41516814
ADSK,8/5/24,Broker D,1828719.625,0.43,1.176352382,54160,Sell,74100,74100,0.085713005,252.02,255.92,255.81,252.42,252.0608715
BK,8/5/24,Broker A,4807429.5,0.46,1.002221107,53159,Sell,68400,68400,0.063984188,74.45,75.39,75.37,75.17,74.49535625
OKE,8/5/24,Broker D,4399638.5,0.61,0.982543945,51107,Buy,169400,169400,0.148028949,86.64,84.99,85.02,87.1,86.62475076
CSX,8/5/24,Broker E,17247650,0.38,0.81662339,51585,Sell,432200,430000,0.046515268,27.05,27.39,27.32,27.32,27.10399347
AFL,8/5/24,Broker E,2209897.75,0.37,0.651851058,57294,Buy,24300,24300,0.106986828,107.41,106.86,106.7,107.76,107.3241984
KMI,8/5/24,Broker B,14069475,0.41,0.77816236,57307,Buy,414500,414500,0.084919686,27.36,26.86,26.99,27.42,27.32989195
CPRT,8/5/24,Broker D,5663842.5,0.31,1.003289819,56739,Buy,187000,187000,0.104767085,60.06,59.45,59.43,60.52,60.00612245
ALL,8/5/24,Broker A,2196536,0.42,0.638867438,49568,Buy,16800,16800,0.170747488,193.71,192.06,191.9,195.09,193.6160306
O,8/5/24,Broker A,6787345.5,0.28,0.546792388,51687,Buy,144700,128600,0.146006928,58.58,58.15,58.03,58.62,58.47909964
JCI,8/5/24,Broker A,4893669.5,0.52,1.112372398,49147,Buy,243900,243900,0.108008732,77.37,75.7,75.85,78.53,77.27411619
HLT,8/5/24,Broker D,3031887.5,0.45,0.915118396,49023,Buy,77100,77100,0.173152724,211.77,209,209.06,213.84,211.7335034
MAR,8/5/24,Broker D,2279838,0.52,1.014037013,59395,Sell,800,800,0.121650145,217.67,218.3,218.3,218.23,217.6975126
HWM,8/5/24,Broker B,3149206.5,0.62,1.214276791,48321,Buy,66400,66400,0.049611047,124.7,122.49,122.67,124.67,124.6419773
NSC,8/5/24,Broker D,1405256,0.42,0.922046959,49532,Buy,5800,5800,0.132107063,219.21,217.72,217.84,219.86,219.1438651
COR,8/5/24,Broker C,2001972.375,0.23,0.437819302,54464,Buy,32900,32900,0.115264893,291.56,289.33,289.53,292.63,291.5340787
RSG,8/5/24,Broker D,1455583.875,0.28,0.62843889,74483,Buy,6400,6400,0.171097456,243.82,242.53,242.7,244.45,243.7480094
SLB,8/5/24,Broker A,21908206,0.69,0.939860463,47078,Buy,517800,508000,0.041911782,35.45,34.72,34.79,35.53,35.32217674
ABNB,8/5/24,Broker B,6031917,0.64,1.223857641,71612,Sell,50400,50400,0.029254736,109.88,111.32,111.26,110,109.9477629
CARR,8/5/24,Broker C,5284097.5,0.48,1.201488495,50267,Buy,78900,78900,0.016118501,59.99,59.28,59.29,60.32,60.01518046
AIG,8/5/24,Broker C,6132646.5,0.39,0.718751848,46340,Buy,109700,109700,0.149097638,82.07,81.09,81.2,82.39,82.04620644
DLR,8/5/24,Broker A,2638210.25,0.42,0.910633385,50244,Buy,115900,115900,0.097546198,151.57,148.95,149.11,151.57,151.4697872
RCL,8/5/24,Broker B,3211878.75,0.77,1.301109672,51454,Buy,130500,130500,0.157733994,194.35,189.52,189.75,198.11,194.3145443
EXC,8/5/24,Broker B,9899152,0.27,0.404019773,46671,Sell,50600,50600,0.058702773,47.14,47.48,47.41,47.38,47.20252109
KR,8/5/24,Broker A,8351748.5,0.33,0.378295392,47789,Buy,112500,112500,0.036372075,72.48,71.63,71.79,72.63,72.38414463
KMB,8/5/24,Broker D,2202193.5,0.27,0.478593826,46454,Sell,43100,43100,0.056751698,142.14,143.45,143.27,143.09,142.2134787
WDAY,8/5/24,Broker C,2488970.25,0.44,1.046601534,56951,Sell,67600,67600,0.040571903,215.91,218.91,218.87,217.12,215.9101418
FCX,8/5/24,Broker B,21833502,0.87,1.440998435,47352,Buy,334300,334300,0.147975781,33.86,33.12,33.23,33.87,33.81589328
TFC,8/5/24,Broker C,12838491,0.54,1.143862844,46093,Sell,602500,602500,0.08501898,34.75,35.5,35.43,35.33,34.76810924
FAST,8/5/24,Broker A,4317566.5,0.41,0.823430419,46056,Buy,48400,48400,0.180697651,81.91,81.06,81.06,82.16,81.78951793
PSA,8/5/24,Broker E,899280.375,0.35,0.74413836,50443,Buy,42500,42500,0.056389566,297.31,293.61,293.83,299.94,297.1875139
FICO,8/5/24,Broker E,192598.1719,0.51,1.182162404,44345,Buy,6600,6600,0.077667935,1919.09,1891.67,1891.82,1945.62,1919.034836
PAYX,8/5/24,Broker D,2656627.25,0.41,0.755127072,50567,Sell,58100,58100,0.097505112,142.35,144.06,143.99,143.76,142.3669069
PCAR,8/5/24,Broker B,3600774.75,0.46,0.874807894,45822,Buy,55400,55400,0.197898869,88.23,87.17,87.18,88.7,88.25195026
SPG,8/5/24,Broker E,2080938.375,0.52,1.014560699,48024,Sell,111100,99100,0.069211963,145.73,148.3,148.2,146.43,145.7582649
ROST,8/5/24,Broker C,3821738.5,0.38,0.791156411,44554,Buy,38200,38200,0.197199588,140.3,139.14,139.11,141.21,140.2774969
FDX,8/5/24,Broker D,2370554,0.6,0.871101379,49147,Sell,117100,117100,0.139259597,202.08,206.3,206.33,202.77,202.167359
SRE,8/5/24,Broker B,5377201,0.39,0.737867653,45934,Sell,82900,82900,0.167582032,69.87,70.53,70.62,70.23,69.88505339
